sku,cost
15247,1009.61
15248,1201.19
15249,1201.19
15250,1201.19
15251,1201.19
15253,1201.19
15254,181.86
15255,181.86
15256,181.86
15257,181.86
15259,181.86
15410,136.70
15411,136.70
15412,136.70
15413,136.70
15415,136.70
15416,163.53
15417,163.53
15418,163.53
15419,163.53
15421,163.53
15422,163.53
15423,163.53
15424,163.53
15425,163.53
15427,163.53
15428,163.53
15429,163.53
15430,163.53
15431,163.53
15433,163.53
15434,410.93
15435,410.93
15436,410.93
15437,410.93
15439,410.93
15440,629.63
15441,629.63
15442,629.63
15443,629.63
15445,629.63
15446,510.23
15447,510.23
15448,510.23
15449,510.23
15451,510.23
15452,728.74
15453,728.74
15454,728.74
15455,728.74
15457,728.74
15458,687.60
15459,687.60
15460,687.60
15461,687.60
15463,687.60
15464,951.74
15465,951.74
15466,951.74
15467,951.74
15469,951.74
15470,1077.59
15471,1077.59
15472,1077.59
15473,1077.59
15475,1077.59
15476,126.23
15477,126.23
15478,126.23
15479,126.23
15481,126.23
15482,293.59
15483,293.59
15484,293.59
15485,293.59
15487,293.59
15488,293.59
15489,293.59
15490,293.59
15491,293.59
15493,293.59
15494,293.59
15495,293.59
15496,293.59
15497,293.59
15499,293.59
15500,276.95
15501,276.95
15502,276.95
15503,276.95
15505,276.95
15506,266.66
15507,266.66
15508,266.66
15509,266.66
15511,266.66
15512,821.87
15513,821.87
15514,821.87
15515,821.87
15517,821.87
15518,124.17
15519,124.17
15520,124.17
15521,124.17
15523,124.17
15524,134.45
15525,134.45
15526,134.45
15527,134.45
15529,134.45
15530,163.53
15531,163.53
15532,163.53
15533,163.53
15535,163.53
15536,109.77
15537,109.77
15538,109.77
15539,109.77
15541,109.77
15542,126.23
15543,126.23
15544,126.23
15545,126.23
15547,126.23
15548,115.94
15549,115.94
15550,115.94
15551,115.94
15553,115.94
15554,132.49
15555,132.49
15556,132.49
15557,132.49
15559,132.49
15560,161.19
15561,161.19
15562,161.19
15563,161.19
15565,161.19
15566,134.45
15567,134.45
15568,134.45
15569,134.45
15571,134.45
15572,163.53
15573,163.53
15574,163.53
15575,163.53
15577,163.53
15578,382.23
15579,382.23
15580,382.23
15581,382.23
15583,382.23
15584,408.88
15585,408.88
15586,408.88
15587,408.88
15589,408.88
15590,487.51
15591,487.51
15592,487.51
15593,487.51
15595,487.51
15596,514.25
15597,514.25
15598,514.25
15599,514.25
15601,514.25
15602,640.01
15603,640.01
15604,640.01
15605,640.01
15607,640.01
15608,670.77
15609,670.77
15610,670.77
15611,670.77
15613,670.77
15614,902.09
15615,902.09
15616,902.09
15617,902.09
15619,902.09
15620,966.23
15621,966.23
15622,966.23
15623,966.23
15625,966.23
15626,1007.37
15627,1007.37
15628,1007.37
15629,1007.37
15631,1007.37
15632,1090.02
15633,1090.02
15634,1090.02
15635,1090.02
15637,1090.02
15638,622.24
15639,622.24
15640,622.24
15641,622.24
15643,622.24
15644,677.22
15645,677.22
15646,677.22
15647,677.22
15649,677.22
15650,718.45
15651,718.45
15652,718.45
15653,718.45
15655,718.45
15656,774.18
15657,774.18
15658,774.18
15659,774.18
15661,774.18
15662,221.13
15663,221.13
15664,221.13
15665,221.13
15667,221.13
15668,247.96
15669,247.96
15670,247.96
15671,247.96
15673,247.96
15674,483.21
15675,483.21
15676,483.21
15677,483.21
15679,483.21
15680,510.23
15681,510.23
15682,510.23
15683,510.23
15685,510.23
15686,726.78
15687,726.78
15688,726.78
15689,726.78
15691,726.78
15692,782.50
15693,782.50
15694,782.50
15695,782.50
15697,782.50
15698,578.20
15699,578.20
15700,578.20
15701,578.20
15703,578.20
15704,607.10
15705,607.10
15706,607.10
15707,607.10
15709,607.10
15710,838.13
15711,838.13
15712,838.13
15713,838.13
15715,838.13
15716,895.54
15717,895.54
15718,895.54
15719,895.54
15721,895.54
15722,741.36
15723,741.36
15724,741.36
15725,741.36
15727,741.36
15728,769.97
15729,769.97
15730,769.97
15731,769.97
15733,769.97
15734,1017.75
15735,1017.75
15736,1017.75
15737,1017.75
15739,1017.75
15740,1046.55
15741,1046.55
15742,1046.55
15743,1046.55
15745,1046.55
15746,1108.63
15747,1108.63
15748,1108.63
15749,1108.63
15751,1108.63
15752,1191.10
15753,1191.10
15754,1191.10
15755,1191.10
15757,1191.10
15758,1221.95
15759,1221.95
15760,1221.95
15761,1221.95
15763,1221.95
15764,1304.61
15765,1304.61
15766,1304.61
15767,1304.61
15769,1304.61
15770,1313.02
15771,1313.02
15772,1313.02
15773,1313.02
15775,1313.02
15776,1424.19
15777,1424.19
15778,1424.19
15779,1424.19
15781,1424.19
15782,518.46
15783,518.46
15784,518.46
15785,518.46
15787,518.46
15788,757.63
15789,757.63
15790,757.63
15791,757.63
15793,757.63
15794,922.75
15795,922.75
15796,922.75
15797,922.75
15799,922.75
15800,167.55
15801,167.55
15802,167.55
15803,167.55
15805,167.55
15806,221.13
15807,221.13
15808,221.13
15809,221.13
15811,221.13
15812,167.55
15813,167.55
15814,167.55
15815,167.55
15817,167.55
15818,483.21
15819,483.21
15820,483.21
15821,483.21
15823,483.21
15824,726.78
15825,726.78
15826,726.78
15827,726.78
15829,726.78
15830,578.20
15831,578.20
15832,578.20
15833,578.20
15835,578.20
15836,838.13
15837,838.13
15838,838.13
15839,838.13
15841,838.13
15842,741.36
15843,741.36
15844,741.36
15845,741.36
15847,741.36
15848,1017.93
15849,1017.93
15850,1017.93
15851,1017.93
15853,1017.93
15854,1221.95
15855,1221.95
15856,1221.95
15857,1221.95
15859,1221.95
15860,922.75
15861,922.75
15862,922.75
15863,922.75
15865,922.75
15866,757.63
15867,757.63
15868,757.63
15869,757.63
15871,757.63
15872,518.46
15873,518.46
15874,518.46
15875,518.46
15877,518.46
15878,192.14
15879,192.14
15880,192.14
15881,192.14
15883,192.14
15884,221.13
15885,221.13
15886,221.13
15887,221.13
15889,221.13
15890,221.13
15891,221.13
15892,221.13
15893,221.13
15895,221.13
15896,221.13
15897,221.13
15898,221.13
15899,221.13
15901,221.13
15902,464.60
15903,464.60
15904,464.60
15905,464.60
15907,464.60
15908,722.57
15909,722.57
15910,722.57
15911,722.57
15913,722.57
15914,551.37
15915,551.37
15916,551.37
15917,551.37
15919,551.37
15920,836.08
15921,836.08
15922,836.08
15923,836.08
15925,836.08
15926,726.78
15927,726.78
15928,726.78
15929,726.78
15931,726.78
15932,1009.61
15933,1009.61
15934,1009.61
15935,1009.61
15937,1009.61
15938,1201.19
15939,1201.19
15940,1201.19
15941,1201.19
15943,1201.19
15944,182.04
15945,182.04
15946,182.04
15947,182.04
15949,182.04
15950,182.04
15951,182.04
15952,182.04
15953,182.04
15955,182.04
15956,221.13
15957,221.13
15958,221.13
15959,221.13
15961,221.13
15962,221.13
15963,221.13
15964,221.13
15965,221.13
15967,221.13
15968,1009.61
15969,1009.61
15970,1009.61
15971,1009.61
15973,1009.61
15974,1201.19
15975,1201.19
15976,1201.19
15977,1201.19
15979,1201.19
15980,276.95
15981,276.95
15982,276.95
15983,276.95
15985,276.95
15986,293.40
15987,293.40
15988,293.40
15989,293.40
15991,293.40
15992,293.40
15993,293.40
15994,293.40
15995,293.40
15997,293.40
15998,293.40
15999,293.40
16000,293.40
16001,293.40
16003,293.40
16004,266.66
16005,266.66
16006,266.66
16007,266.66
16009,266.66
16010,823.74
16011,823.74
