supplier	sku	cost_ex_gst	cost_inc_gst
Brilliant Lighting	22082/06	34.5300	37.9800
Brilliant Lighting	21638/06	15.1100	16.6200
Brilliant Lighting	21637/06	22.6600	24.9300
Brilliant Lighting	19919/06	19.4200	21.3600
Brilliant Lighting	19918/06	24.8200	27.3000
Brilliant Lighting	19696/51	30.0900	33.1000
Brilliant Lighting	19696/05	30.0900	33.1000
Brilliant Lighting	19921/06	33.4500	36.8000
Brilliant Lighting	18051/16	72.6300	79.8900
Brilliant Lighting	21625SP001	12.5200	13.7700
Brilliant Lighting	21625SP002	12.5200	13.7700
Brilliant Lighting	21625SP003	15.1100	16.6200
Brilliant Lighting	21625/06	35.6100	39.1700
Brilliant Lighting	21625/15	35.6100	39.1700
Brilliant Lighting	21624/06	22.6600	24.9300
Brilliant Lighting	21885/06	43.1600	47.4800
Brilliant Lighting	19916/06	44.2400	48.6600
Brilliant Lighting	19917/06	63.6600	70.0300
Brilliant Lighting	19239/06	28.0100	30.8100
Brilliant Lighting	19239/05	28.0100	30.8100
Brilliant Lighting	19975/06	39.4300	43.3700
Brilliant Lighting	19975/05	39.4300	43.3700
Brilliant Lighting	19242/06	48.7600	53.6400
Brilliant Lighting	19242/05	48.7600	53.6400
Brilliant Lighting	19245/06	58.1000	63.9100
Brilliant Lighting	19245/05	58.1000	63.9100
Brilliant Lighting	20616/06	32.1600	35.3800
Brilliant Lighting	20616/05	32.1600	35.3800
Brilliant Lighting	20622/06	54.4700	59.9200
Brilliant Lighting	20622/05	54.4700	59.9200
Brilliant Lighting	20625/06	64.8400	71.3200
Brilliant Lighting	20625/05	64.8400	71.3200
Brilliant Lighting	21910/06	72.5200	79.7700
Brilliant Lighting	21908/06	24.9000	27.3900
Brilliant Lighting	21909/06	48.2400	53.0600
Brilliant Lighting	20788/06	25.9400	28.5300
Brilliant Lighting	20788/05	25.9400	28.5300
Brilliant Lighting	20786/06	40.4600	44.5100
Brilliant Lighting	20786/05	40.4600	44.5100
Brilliant Lighting	20784/06	51.3600	56.5000
Brilliant Lighting	20784/05	51.3600	56.5000
Brilliant Lighting	21951/08	42.0800	46.2900
Brilliant Lighting	19485/06	48.8800	53.7700
Brilliant Lighting	22822/06	23.3400	25.6700
Brilliant Lighting	22822/05	23.3400	25.6700
Brilliant Lighting	22824/06	30.6100	33.6700
Brilliant Lighting	22287/06	34.2400	37.6600
Brilliant Lighting	22287/05	34.2400	37.6600
Brilliant Lighting	22289/06	40.9800	45.0800
Brilliant Lighting	22289/05	40.9800	45.0800
Brilliant Lighting	18063/05	21.7900	23.9700
Brilliant Lighting	21353/05	20.7500	22.8300
Brilliant Lighting	20051/05	31.1300	34.2400
Brilliant Lighting	18562/09	29.0500	31.9600
Brilliant Lighting	18562/06	29.0500	31.9600
Brilliant Lighting	18062/05	29.0500	31.9600
Brilliant Lighting	18060/06	16.6000	18.2600
Brilliant Lighting	18060/05	19.1900	21.1100
Brilliant Lighting	21719/06	178.4400	196.2800
Brilliant Lighting	21719/05	178.4400	196.2800
Brilliant Lighting	21721/06	212.4300	233.6700
Brilliant Lighting	21721/05	212.4300	233.6700
Brilliant Lighting	21723/06	189.3600	208.3000
Brilliant Lighting	21723/05	189.3600	208.3000
Brilliant Lighting	21725/06	220.9300	243.0200
Brilliant Lighting	21725/05	220.9300	243.0200
Brilliant Lighting	22874/06	105.0000	115.5000
Brilliant Lighting	22874/05	105.0000	115.5000
Brilliant Lighting	22878/06	120.0000	132.0000
Brilliant Lighting	22878/05	120.0000	132.0000
Brilliant Lighting	22970/06	125.0000	137.5000
Brilliant Lighting	22970/05	125.0000	137.5000
Brilliant Lighting	22974/06	140.0000	154.0000
Brilliant Lighting	22974/05	140.0000	154.0000
Brilliant Lighting	22876/06	110.0000	121.0000
Brilliant Lighting	22876/05	110.0000	121.0000
Brilliant Lighting	22880/06	125.0000	137.5000
Brilliant Lighting	22880/05	125.0000	137.5000
Brilliant Lighting	22972/06	130.0000	143.0000
Brilliant Lighting	22972/05	130.0000	143.0000
Brilliant Lighting	22976/06	145.0000	159.5000
Brilliant Lighting	22976/05	145.0000	159.5000
Brilliant Lighting	22319/13	424.8600	467.3500
Brilliant Lighting	22989/06	555.0000	610.5000
Brilliant Lighting	22989/13	555.0000	610.5000
Brilliant Lighting	22989/05	555.0000	610.5000
Brilliant Lighting	22979/06	359.0000	394.9000
Brilliant Lighting	22979/13	359.0000	394.9000
Brilliant Lighting	22979/05	359.0000	394.9000
Brilliant Lighting	22982/06	365.0000	401.5000
Brilliant Lighting	22982/13	365.0000	401.5000
Brilliant Lighting	22982/05	365.0000	401.5000
Brilliant Lighting	22986/06	424.0000	466.4000
Brilliant Lighting	22986/13	424.0000	466.4000
Brilliant Lighting	22986/05	424.0000	466.4000
Brilliant Lighting	21341/77	81.9000	90.0900
