sku,cost
MTBL019GRY,76.67
A29121WHT,90.09
A29111WHT,61.74
MWL005BLK-3,52.74
MWL005BLK-4,32.18
MWL005WHT-3,32.18
MWL005WHT-4,32.18
MXW1020,28.22
MXW1060,27.08
MTBL023BLK,11.48
BH161ESWBK,210.69
BH161ESWWH,210.69
MXD6512BLK,47.63
MXD6512WHT,47.63
MWL004BLK,30.86
MXD6612BLK,15.82
MXD6624BLK,25.37
MXD6612BLK-SEN,22.78
MXD6624BLK-SEN,32.34
9E27LEDP38WW,8.7
204577,42.5
204579,85.0
MTL011,31.5
MTFL011,54.09
MXW1010,29.53
MXD1020,31.93
MXD1021,40.05
MD8209CCT,10.0
MD8213CCT,23.57
MD8215CCT,27.03
MD8220CCT,32.84
MXD1010,32.78
MXD1011,55.31
MPLS511BLK-S,49.27
MPLS511WHT-S,49.27
MTL002,39.69
A20031AB,12.89
MXD1040,19.85
MXD1041,25.76
MXD1042,19.85
MXD1043,25.76
BE380ESPWH,76.61
BE390ESPWH,90.53
MDIY001BLK,19.9
MDIY001WHT,19.9
MDIY002BLK,13.92
MXB1010CCT,47.1
ML5018Y,21.3
ML5036Y,34.23
MDIY004,30.22
MNL001,16.01
MNL002,16.01
9E27LED19DC,10.74
9E27LEDSP95DC,6.48
9B22LEDSP95DC,6.48
9E27LEDA60DC,6.53
9B22LEDA60DC,5.72
MGL285,2.88
MGL284,2.88
MGL280-D,4.97
MGL282-D,6.48
MGL288B,2.88
MGL289B,2.88
MGL288R,2.88
MGL289R,2.88
MGL288G,2.88
MGL289G,2.88
MGL288Y,2.88
MGL289Y,2.88
MGL288O,2.88
MGL289O,2.88
MGL070WSE,3.33
MGL070DSE,3.33
MGL071WSE,5.51
MGL071DSE,3.88
MGL072WE,4.95
MGL072DE,4.95
MGL075WE,5.77
MGL075DE,5.77
MGL080GW,4.13
MGL082GW,4.13
MGL080GD,4.13
MGL082GD,4.13
MGL090GW,4.33
MGL092GW,4.33
MGL090GD,4.33
MGL092GD,4.33
MLVA001WH,30.86
MD4209WP10,54.77
20264,110.84
20265,110.84
20266,110.84
20267,110.84
20268,110.84
20269,110.84
MX9506BLK-CCT,36.6
MX9512BLK-CCT,46.48
MX9506WHT-CCT,36.6
MX9512WHT-CCT,46.48
BS132ESWWH,82.48
BS134ESWWH,103.76
BE370ESPWH,75.21
BE340ESPBK,47.25
BE350ESPBK,56.18
BE320ESPBK,47.25
BE330ESPBK,56.18
K-2013-18-3L-GD,212.5
5510162-GD,93.4915
203937,163.2
203939,163.2
203424,94.35
203425,113.05
203938,163.2
97793,203.15
39604,155.125
39602,480.25
39605,653.65
12007,96.985
12001,96.985
12003,112.625
12005,112.625
12017,110.585
12011,110.585
12013,131.24
12015,131.24
12027,133.535
12021,133.535
12023,159.545
12025,159.545
31451,70.38
31450,70.38
31452,78.03
31453,78.03
31455,78.03
31456,78.03
31454,78.03
31465,88.57
31464,88.57
31466,94.18
31467,94.18
31469,94.18
31470,94.18
31468,94.18
31479,111.01
31478,111.01
31481,121.125
31482,121.125
31480,121.125
31484,121.125
31483,121.125
19741,73.95
19742,73.95
19735,73.95
19736,73.95
19739,73.95
19740,73.95
19737,73.95
19738,73.95
19733,73.95
19776,67.66
19734,73.95
19777,67.66
19727,73.95
19770,67.66
19728,73.95
19771,67.66
19731,73.95
19774,67.66
19732,73.95
19775,67.66
19729,73.95
19772,67.66
19730,73.95
19773,67.66
19778,67.66
19779,67.66
19782,67.66
19783,67.66
19784,67.66
19785,67.66
19780,67.66
19781,67.66
19766,85.255
19792,78.03
19767,85.255
19793,78.03
19760,85.255
19786,78.03
19761,85.255
19787,78.03
19764,85.255
19790,78.03
19765,85.255
19791,78.03
19762,85.255
19788,78.03
19763,85.255
19789,78.03
31323,251.175
ROKA16WLEDBLK,135.0
ROKA23WLEDBLK,189.0
ROKA16WLEDCH,145.0
ROKA23WLEDCH,199.0
CLOV1PBLK,80.0
CLOV3PBLK,189.0
CLOV1PCH,95.0
CLOV3PCH,215.0
CLOV6PCH,345.0
ARCA1PBLK,114.0
ARCA3PBLK,199.0
ARCA6PBLK,329.0
HELE1PSCL,114.0
OL65963BZ,230.0
OL65933BZ,170.0
OL65705BZ,558.0
OL65901BK,71.0
MD4309WL-CCT,14.35
OL56096BK,378.0
OL56093BK,258.0
SL64415/6BK,380.0
SL64412/4BK,298.0
MD4309WLG-CCT,15.72
43001N,41.65
MARTE1,93.99
MARTE2,93.99
MARTE3,93.99
TUILE1,68.55
TUILE4,114.3
TUILE2,68.55
TUILE5,114.3
TUILE3,68.55
TUILE6,114.3
JEREZ2,74.75
JEREZ2X3R,213.68
JEREZ2X3S,213.68
JEREZ1,74.75
JEREZ1X3R,213.68
JEREZ1X3S,213.68
BROTE1,77.96
BROTE2,77.96
ESPEJO1,56.58
ESPEJO1X3R,160.25
ESPEJO2,56.58
ESPEJO2X3R,160.25
ESPEJO2X3S,160.25
204516,21.25
PASTILLE1,45.69
PASTILLE2,45.69
OL60914/40BK,105.0
HV3645T-BLK-240V,29.4
HV3645T-BLK-12V,29.4
HV3645T-WHT-240V,29.4
HV3645T-WHT-12V,29.4
HV3646T-BLK-240V,38.43
HV3646T-BLK-12V,38.43
HV3646T-WHT-240V,38.43
HV3646T-WHT-12V,38.43
HV3647T-WHT-240V,38.43
HV3647T-WHT-12V,38.43
HV3647T-BLK-240V,38.43
HV3647T-BLK-12V,38.43
HV3648T-BLK-240V,49.0
HV3648T-BLK-12V,49.0
HV3648T-WHT-240V,49.0
HV3648T-WHT-12V,49.0
LOI1001573,554.4
LOI1001177,369.0
LOI1001179,538.2
LOI1001178,517.5
LOI1001180,202.5
LOI1000427,233.1
LOI1000426,349.2
LOI1001106,44.1
LOI1001109,65.52
LOI1001107,44.1
LOI1001108,65.52
LOI1001428,76.5
LOI1001481,74.7
LOI1001480,53.1
HV9658-24V200W,99.61
HV9658-12V200W,99.61
LOI1001292,116.1
LOI1001294,293.04
LOI1001295,863.1
LOI1001530,69.12
LOI1001529,71.1
LOI1001528,129.6
LOI1001526,125.28
LOI1001525,129.6
LOI1001527,138.96
LOI1001434,90.9
LOI1001433,116.1
LOI1001432,151.2
LOI1001431,162.0
LOI1001430,151.2
LOI1001201,118.8
LOI1001204,118.8
LOI1001203,127.8
LOI1001202,136.8
LOI1001205,118.8
LOI1000110,155.7
LOI1000341,198.9
LOI1000032,69.3
LOI1000029,178.2
LOI1000028,269.1
OL99441BK,126.0
OL99458BK,139.0
LOI1000492,115.2
LOI1000577,149.4
LOI1000576,176.4
LOI1000564,178.2
LOI1000563,232.2
LOI1001410,96.3
LOI1001414,77.04
LOI1001412,115.2
LOI1001416,115.2
LOI1001411,104.4
LOI1001413,130.5
LOI1001417,104.4
HV5803T-WHT,53.06
HV5822T-WHT,65.66
HV5822T-BLK,65.66
HV5824T-WHT,130.48
HV5824T-BLK,130.48
HV1017GU10T,140.14
ORIGAMI1,81.17
ORIGAMI2,81.17
ORIGAMI3,81.17
ORIGAMI4,125.58
ORIGAMI5,125.58
ORIGAMI6,125.58
VINUM1,63.0
VINUM2,63.0
TRATTINO2,74.75
TRATTINO2X3R,220.1
TRATTINO2X3S,220.1
TRATTINO1,74.75
TRATTINO1X3R,220.1
TRATTINO1X3S,220.1
VINUM1W,60.86
VINUM2W,60.86
TULIP2,90.79
TULIP2X3R,267.12
TULIP2X3S,267.12
TULIP1,90.79
TULIP1X3R,267.12
TULIP1X3S,267.12
PATERA1,125.58
PATERA2,125.58
PATERA3,125.58
VAD150,13.965
HV3668T-WHT,66.85
HV3668T-BLK,66.85
HV3669T-WHT,66.85
HV3669T-BLK,66.85
HV3637T-WHT,69.79
HV3637T-BLK,69.79
HV3639T-WHT,52.92
HV3639T-BLK,52.92
HV3633T-BLK,52.92
HV3633T-SS316,52.92
HV3633T-WHT,52.92
SAH21BL,269.5
SAH21WH,269.5
HV3629T-WHT,155.33
HV3629T-BLK,155.33
HV3628T-WHT,103.32
HV3628T-BLK,103.32
HV3629T-WHT-SQ,164.57
HV3629T-BLK-SQ,164.57
HV3628T-WHT-SQ,111.72
HV3628T-BLK-SQ,111.72
HV4001T-4-WHT,130.41
HV4001T-4-BLK,130.41
HV4001T-4-TTM,135.38
HV4001T-3-BLK,95.34
HV4001T-3-WHT,95.34
HV4001T-3-TTM,101.92
HV4001T-2-WHT,66.85
HV4001T-2-BLK,66.85
HV4001T-2-TTM,73.36
HV5892T-WHT,96.95
HV5893T-WHT,136.99
HV5892T-BLK,96.95
HV5893T-BLK,136.99
HV3658T-BLK-SQ,53.83
HV3658T-WHT-SQ,53.83
HV3658T-WHT-RND,53.83
HV3658T-BLK-RND,53.83
HV2925T-12V,26.11
HV2905T-12V,72.59
HV3272T-BLK-12V,68.88
HV3272T-WHT-12V,68.88
HV3272T-SLV-12V,68.88
HV3642T-BLK-240V,38.43
HV3642T-BLK-12V,38.43
HV3642T-WHT-240V,38.43
HV3642T-WHT-12V,38.43
HV3641T-BLK-240V,29.4
HV3641T-BLK-12V,29.4
HV3641T-WHT-240V,29.4
HV3641T-WHT-12V,29.4
HV3644T-BLK-240V,49.0
HV3644T-BLK-12V,49.0
HV3644T-WHT-240V,49.0
HV3644T-WHT-12V,49.0
HV3643T-BLK-240V,38.43
HV3643T-BLK-12V,38.43
HV3643T-WHT-240V,38.43
HV3643T-WHT-12V,38.43
HV3278T-BLK-240V,65.52
HV3278T-BLK-12V,65.52
HV3278T-WHT-240V,65.52
HV3278T-WHT-12V,65.52
HV3279T-BLK-240V,73.08
HV3279T-BLK-12V,73.08
HV3279T-WHT-240V,73.08
HV3279T-WHT-12V,73.08
HV1089T-BLK-240V,70.56
HV1089T-TTM-240V,70.56
HV2861B,22.61
HV3225T-BLK,41.3
HV3225T-WHT,41.3
HV3221T-BLK,28.0
HV3221T-WHT,28.0
HV3222T-BLK,28.0
HV3222T-WHT,28.0
HV3223T-BLK,28.0
HV3223T-WHT,28.0
HV3276T-BLK-240V,68.88
HV3276T-BLK-12V,68.88
HV3276T-WHT-240V,68.88
HV3276T-WHT-12V,68.88
HV3275T-BLK-240v,68.88
HV3275T-BLK-12V,68.88
HV3275T-WHT-240V,68.88
HV3275T-WHT-12V,68.88
