sku	name	price	cost
HV9723-IP20-96SM-B-20M	HV9723-IP20-96SM-B-20M .7w IP20 Side Mounted LED Strip Blue 20m Roll	703.3950	339.5700
HV9761-IP20-528-3K	HV9761-IP20-528-3K - 12w IP20 24v DC 3000K Free Cut COB Dotless LED Strip per Meter	35.2495	17.0170
HV9761-IP20-528-4K	HV9761-IP20-528-4K - 12w IP20 24v DC 4000K Free Cut COB Dotless LED Strip per Meter	35.2495	17.0170
HV9761-IP20-528-5K	HV9761-IP20-528-5K - 12w IP20 24v DC 5500K Free Cut COB Dotless LED Strip per Meter	35.2495	17.0170
HV9761-IP20-528-3K-30M	HV9761-IP20-528-3K-30m - 12w IP20 24v DC 3000K Free Cut COB Dotless LED Strip 30m Roll	954.6075	460.8450
HV9761-IP20-528-4K-30M	HV9761-IP20-528-4K-30M - 12w IP20 24v DC 4000K Free Cut COB Dotless LED Strip 30m roll	954.6075	460.8450
HV9761-IP20-528-5K-30M	HV9761-IP20-528-5K-30M - 12w IP20 24v DC 5500K Free Cut COB Dotless LED Strip 30M roll	954.6075	460.8450
HV9753-IP20-60-RGB	HV9753-IP20-60-RGB - 11w IP20 RGB Long Run LED Strip Per Meter	58.6960	28.3360
HV9753-IP20-60-RGB-30M	HV9753-IP20-60-RGB-30M - 11w IP20 RGB Long Run LED Strip 30M	1607.7600	776.1600
HV9753-IP54-60-RGB	HV9753-IP54-60-RGB - 11w IP54 RGB Long Run LED Strip Per Meter	66.9900	32.3400
HV9753-IP54-60-RGB-15M	HV9753-IP54-60-RGB-15M - 11w IP54 RGB Long Run LED Strip 15M Roll	954.6075	460.8450
HV9753-IP67-60-RGB	HV9753-IP67-60-RGB - 11w IP67 RGB Long Run LED Strip Per Meter	75.4435	36.4210
HV9753-IP67-60-RGB-15M	HV9753-IP67-60-RGB - 11w IP67 RGB Long Run LED Strip 15m Roll	1080.2935	521.5210
HV9753-IP20-60-RGBW	HV9753-IP20-60-RGBW - 11w IP20 RGBW Long Run LED Strip Per Meter	66.9900	32.3400
HV9753-IP20-60-RGBW-30M	HV9753-IP20-60-RGBW-30M - 11w IP20 RGBW Long Run LED Strip 30M	1909.2150	921.6900
HV9753-IP54-60-RGBW	HV9753-IP54-60-RGBW - 11w IP54 RGBW Long Run LED Strip Per Meter	75.4435	36.4210
HV9753-IP54-60-RGBW-15M	HV9753-IP54-60-RGBW-15M - 11w IP54 RGBW Long Run LED Strip 15M Roll	1080.2935	521.5210
HV9753-IP67-60-RGBW	HV9753-IP67-60-RGBW - 11w IP67 RGBW Long Run LED Strip Per Meter	83.7375	40.4250
HV9753-IP67-60-RGBW-15M	HV9753-IP67-60-RGBW-15M - 11w IP67 RGBW Long Run LED Strip 15M Roll	1205.8200	582.1200
HV9761-IP20-480-RGB	HV9761-IP20-480-RGB - 15w IP20 COB RGB LED Strip per Meter	30.1455	14.5530
HV9761-IP20-480-RGB-30M	HV9761-IP20-480-RGB-30M - 15w IP20 COB RGB LED Strip 30M Roll	803.8800	388.0800
HV9761-IP20-840-RGB	HV9761-IP20-840-RGB - 15w IP20 COB RGB LED Strip Per Meter	41.9485	20.2510
HV9761-IP20-840-RGB-30M	HV9761-IP20-840-RGB-30M - 15w IP20 COB RGB LED Strip 30M Roll	1256.0625	606.3750
HV9761-IP54-480-RGB	HV9761-IP54-480-RGB - 15w IP54 COB RGB LED Strip Per meter	38.5990	18.6340
HV9761-IP54-480-RGB-10M	HV9761-IP54-480-RGB-10M - 15w IP54 COB RGB LED Strip 10M roll	351.6975	169.7850
HV9761-IP67-480-RGB	HV9761-IP67-480-RGB - 15w IP67 COB RGB LED Strip Per Meter	43.5435	21.0210
HV9761-IP67-480-RGB-10M	HV9761-IP67-480-RGB-10M - 15w IP67 COB RGB LED Strip 10M Roll	401.9400	194.0400
HV9761-IP20-896-RGBC	HV9761-IP20-896-RGBC - 20w IP20 COB RGBC LED Strip Per Meter	62.0455	29.9530
HV9761-IP20-896-RGBC-30M	HV9761-IP20-896-RGBC - 20w IP20 COB RGBC LED Strip 30M Roll	1758.4875	848.9250
HV9761-IP20-896-RGBW-30M	HV9761-IP20-896-RGBW-30M - 20w IP20 COB RGBW LED Strip 30m Roll	1758.4875	848.9250
HV9761-IP20-896-RGBW	HV9761-IP20-896-RGBW - 20w IP20 COB RGBW LED Strip Per Meter	62.0455	29.9530
HV9761-IP54-896-RGBC	HV9761-IP54-896-RGBC - 20w IP54 COB RGBC LED Strip	68.7445	33.1870
HV9761-IP54-896-RGBW	HV9761-IP54-896-RGBW - 20w IP54 COB RGBW LED Strip	68.7445	33.1870
HV9761-IP54-896-RGBC-10M	HV9761-IP54-896-RGBC-10M - 20w IP54 COB RGBC LED Strip 10M roll	653.1525	315.3150
HV9761-IP54-896-RGBW-10M	HV9761-IP54-896-RGBC-10M - 20w IP54 COB RGBC LED Strip 10M Roll - RGBW	653.1525	315.3150
HV9761-IP67-896-RGBC	HV9761-IP67-896-RGBC - 20w IP67 COB RGBC LED Strip	72.0940	34.8040
HV9761-IP67-896-RGBW	HV9761-IP67-896-RGBW - 20w IP67 COB RGBW LED Strip	72.0940	34.8040
HV9761-IP67-896-RGBC-10M	HV9761-IP67-896-RGBC - 20w IP67 COB RGBC LED Strip 10M Roll	686.6475	331.4850
HV9761-IP67-896-RGBW-10M	HV9761-IP67-896-RGBW - 20w IP67 COB RGBW LED Strip 10M roll	686.6475	331.4850
HV9761-IP20-840-RGBCW	HV9761-IP20-840-RGBCW - 20w IP20 24v DC COB RGBCW LED Strip	70.3395	33.9570
